Movie Id,Actor Id
101,50
101,51
102,52
102,53
103,54
103,55
103,56
104,54
104,56
105,54
105,55
106,57
106,58
107,59
107,60
108,61
108,62
108,63
109,59
109,57
109,64
110,65
110,66
111,67
111,68
112,69
112,70
113,71
113,72
114,73
114,74
115,75
115,76
116,77
116,78
117,69
117,79
118,80
118,81
119,82
119,83
120,84
120,85
121,86
121,87
122,88
122,89
123,90
123,91
124,92
124,93
125,94
125,95
125,54
126,94
126,95
126,54
127,150
127,151
128,61
128,152
129,51
129,153
130,61
130,154
131,155
131,154
132,156
132,157
133,158
133,159
134,160
134,161
135,162
135,163
136,164
136,165
137,95
137,166
138,95
138,167
139,164
139,168
140,169
140,170
